Site,Metrique,Periode,R2025,R2026,B2026
Bègles,Personnel,Q2,-1002094.01,-1071939.2599999988,-1069398.807727722
Bègles,Energie,Q2,-691.99,-56.18000000000001,0.0
Bègles,Maint_courante,Q2,-121804.34999999998,-62311.98000000001,-95981.955629875
Bègles,Maint_oblig,Q2,-167961.15000000002,-167467.39999999997,-168000.0
Bègles,Traitement_sp,Q2,-2368.91,969.8899999999999,0.0
Bègles,Autres_couts,Q2,-285692.8800000001,-377120.87999999954,-300360.07907913
Bègles,CA,S1,3168594.92,3372348.1,3291108.54
Bègles,PNE,S1,1984269.800000001,1917308.26,1896534.0873
Bègles,Marge_brute,S1,-1273129.62,-1481674.9399999988,-1371947.5975734552
Bègles,EBITDA,S1,-1347112.799999999,-1556443.040000001,-1446713.597573454
Bègles,EBIT,S1,-2858811.679999999,-3096794.740000001,-2998158.343732384
Bègles,Personnel,S1,-2062610.37,-2161372.379999999,-2138797.615455444
Bègles,Energie,S1,-728.96,-492.72,0.0
Bègles,Maint_courante,S1,-267339.35,-158268.09,-191963.91125975
Bègles,Maint_oblig,S1,-338897.53,-375921.22,-336000.0
Bègles,Traitement_sp,S1,-2368.91,-1648.54,0.0
Bègles,Autres_couts,S1,-583207.54,-699400.8399999996,-594220.15815826
